#Bulken (Vangsvatnet), 62.5.0, Vannføring, dogn
Tidspunkt;Vannføring (m³/s);Korrigert;Kontrollert
1892-01-01 11:00:00Z;12,10079;0;3
1892-01-02 11:00:00Z;11,24779;0;3
1892-01-03 11:00:00Z;11,24779;0;3
1892-01-04 11:00:00Z;10,97214;0;3
1892-01-05 11:00:00Z;11,24779;0;3
1892-01-06 11:00:00Z;11,24779;0;3
1892-01-07 11:00:00Z;10,97214;0;3
1892-01-08 11:00:00Z;10,70078;0;3
1892-01-09 11:00:00Z;10,17083;0;3
1892-01-10 11:00:00Z;9,657724;0;3
1892-01-11 11:00:00Z;8,919145;0;3
1892-01-12 11:00:00Z;8,447149;0;3
1892-01-13 11:00:00Z;8,217185;0;3
1892-01-14 11:00:00Z;7,769176;0;3
1892-01-15 11:00:00Z;7,336869;0;3
1892-01-16 11:00:00Z;6,717344;0;3
1892-01-17 11:00:00Z;6,518436;0;3
1892-01-18 11:00:00Z;6,323277;0;3
1892-01-19 11:00:00Z;6,131841;0;3
1892-01-20 11:00:00Z;5,944097;0;3
1892-01-21 11:00:00Z;5,579563;0;3
1892-01-22 11:00:00Z;5,229439;0;3
1892-01-23 11:00:00Z;5,059705;0;3
1892-01-24 11:00:00Z;4,893484;0;3
1892-01-25 11:00:00Z;4,893484;0;3
1892-01-26 11:00:00Z;4,893484;0;3
1892-01-27 11:00:00Z;4,893484;0;3
1892-01-28 11:00:00Z;5,402715;0;3
1892-01-29 11:00:00Z;5,944097;0;3
1892-01-30 11:00:00Z;6,717344;0;3
1892-01-31 11:00:00Z;10,97214;0;3
1892-02-01 11:00:00Z;11,52777;0;3
1892-02-02 11:00:00Z;13,29991;0;3
1892-02-03 11:00:00Z;14,57125;0;3
1892-02-04 11:00:00Z;13,92645;0;3
1892-02-05 11:00:00Z;13,29991;0;3
1892-02-06 11:00:00Z;12,10079;0;3
1892-02-07 11:00:00Z;11,24779;0;3
1892-02-08 11:00:00Z;10,70078;0;3
1892-02-09 11:00:00Z;9,912188;0;3
1892-02-10 11:00:00Z;9,161231;0;3
1892-02-11 11:00:00Z;8,919145;0;3
1892-02-12 11:00:00Z;12,69144;0;3
1892-02-13 11:00:00Z;20,01133;0;3
1892-02-14 11:00:00Z;19,22268;0;3
1892-02-15 11:00:00Z;18,45389;0;3
1892-02-16 11:00:00Z;16,26462;0;3
1892-02-17 11:00:00Z;13,92645;0;3
1892-02-18 11:00:00Z;12,10079;0;3
1892-02-19 11:00:00Z;11,24779;0;3
1892-02-20 11:00:00Z;10,43369;0;3
1892-02-21 11:00:00Z;9,407415;0;3
1892-02-22 11:00:00Z;8,919145;0;3
1892-02-23 11:00:00Z;8,681128;0;3
1892-02-24 11:00:00Z;7,769176;0;3
1892-02-25 11:00:00Z;6,920033;0;3
1892-02-26 11:00:00Z;6,717344;0;3
1892-02-27 11:00:00Z;6,518436;0;3
1892-02-28 11:00:00Z;6,323277;0;3
1892-02-29 11:00:00Z;5,944097;0;3
1892-03-01 11:00:00Z;5,760013;0;3
1892-03-02 11:00:00Z;5,402715;0;3
1892-03-03 11:00:00Z;5,059705;0;3
1892-03-04 11:00:00Z;4,730744;0;3
1892-03-05 11:00:00Z;4,571456;0;3
1892-03-06 11:00:00Z;4,571456;0;3
1892-03-07 11:00:00Z;4,415588;0;3
1892-03-08 11:00:00Z;4,263111;0;3
1892-03-09 11:00:00Z;4,113992;0;3
1892-03-10 11:00:00Z;4,113992;0;3
1892-03-11 11:00:00Z;3,968202;0;3
1892-03-12 11:00:00Z;3,968202;0;3
1892-03-13 11:00:00Z;3,968202;0;3
1892-03-14 11:00:00Z;3,968202;0;3
1892-03-15 11:00:00Z;3,968202;0;3
1892-03-16 11:00:00Z;3,968202;0;3
1892-03-17 11:00:00Z;3,825709;0;3
1892-03-18 11:00:00Z;4,571456;0;3
1892-03-19 11:00:00Z;5,579563;0;3
1892-03-20 11:00:00Z;9,912188;0;3
1892-03-21 11:00:00Z;12,69144;0;3
1892-03-22 11:00:00Z;14,24655;0;3
1892-03-23 11:00:00Z;14,90057;0;3
1892-03-24 11:00:00Z;18,83581;0;3
1892-03-25 11:00:00Z;24,71333;0;3
1892-03-26 11:00:00Z;36,65673;0;3
1892-03-27 11:00:00Z;37,83781;0;3
1892-03-28 11:00:00Z;30,57547;0;3
1892-03-29 11:00:00Z;22,93108;0;3
1892-03-30 11:00:00Z;25,17208;0;3
1892-03-31 11:00:00Z;33,80638;0;3
1892-04-01 11:00:00Z;36,65673;0;3
1892-04-02 11:00:00Z;42,8009;0;3
1892-04-03 11:00:00Z;49,55643;0;3
1892-04-04 11:00:00Z;44,76228;0;3
1892-04-05 11:00:00Z;42,15937;0;3
1892-04-06 11:00:00Z;44,76228;0;3
1892-04-07 11:00:00Z;48,15527;0;3
1892-04-08 11:00:00Z;50,26653;0;3
1892-04-09 11:00:00Z;50,983;0;3
1892-04-10 11:00:00Z;46,77933;0;3
1892-04-11 11:00:00Z;42,8009;0;3
1892-04-12 11:00:00Z;40,27121;0;3
1892-04-13 11:00:00Z;35,49915;0;3
1892-04-14 11:00:00Z;31,09981;0;3
1892-04-15 11:00:00Z;26,10559;0;3
1892-04-16 11:00:00Z;22,49858;0;3
1892-04-17 11:00:00Z;19,22268;0;3
1892-04-18 11:00:00Z;16,26462;0;3
1892-04-19 11:00:00Z;14,24655;0;3
1892-04-20 11:00:00Z;13,29991;0;3
1892-04-21 11:00:00Z;12,69144;0;3
1892-04-22 11:00:00Z;13,61091;0;3
1892-04-23 11:00:00Z;14,57125;0;3
1892-04-24 11:00:00Z;17,70476;0;3
1892-04-25 11:00:00Z;22,93108;0;3
1892-04-26 11:00:00Z;22,07126;0;3
1892-04-27 11:00:00Z;21,64908;0;3
1892-04-28 11:00:00Z;20,01133;0;3
1892-04-29 11:00:00Z;18,07688;0;3
1892-04-30 11:00:00Z;16,97507;0;3
1892-05-01 11:00:00Z;16,97507;0;3
1892-05-02 11:00:00Z;16,97507;0;3
1892-05-03 11:00:00Z;16,61745;0;3
1892-05-04 11:00:00Z;16,61745;0;3
1892-05-05 11:00:00Z;16,26462;0;3
1892-05-06 11:00:00Z;15,91654;0;3
1892-05-07 11:00:00Z;15,57319;0;3
1892-05-08 11:00:00Z;14,90057;0;3
1892-05-09 11:00:00Z;14,90057;0;3
1892-05-10 11:00:00Z;13,92645;0;3
1892-05-11 11:00:00Z;13,61091;0;3
1892-05-12 11:00:00Z;17,70476;0;3
1892-05-13 11:00:00Z;21,64908;0;3
1892-05-14 11:00:00Z;29,03599;0;3
1892-05-15 11:00:00Z;40,89454;0;3
1892-05-16 11:00:00Z;70,1511;0;3
1892-05-17 11:00:00Z;75,20869;0;3
1892-05-18 11:00:00Z;66,68691;0;3
1892-05-19 11:00:00Z;56,17873;0;3
1892-05-20 11:00:00Z;45,42841;0;3
1892-05-21 11:00:00Z;44,10234;0;3
1892-05-22 11:00:00Z;42,8009;0;3
1892-05-23 11:00:00Z;41,52392;0;3
1892-05-24 11:00:00Z;41,52392;0;3
1892-05-25 11:00:00Z;56,94704;0;3
1892-05-26 11:00:00Z;110,2178;0;3
1892-05-27 11:00:00Z;188,4895;0;3
1892-05-28 11:00:00Z;182,1977;0;3
1892-05-29 11:00:00Z;184,5483;0;3
1892-05-30 11:00:00Z;186,1212;0;3
1892-05-31 11:00:00Z;235,4476;0;3
1892-06-01 11:00:00Z;311,0959;0;3
1892-06-02 11:00:00Z;352,6183;0;3
